Edir,Edif
0.965265,0.472379
0.969101,0.471681
0.972170,0.470983
0.976007,0.470285
0.979076,0.469587
0.980611,0.467958
0.981378,0.466329
0.982912,0.464700
0.983680,0.463071
0.985214,0.461442
0.985982,0.459581
0.987516,0.457952
0.988284,0.456323
0.989818,0.454694
0.990585,0.453065
0.992120,0.451436
0.992887,0.449807
0.994422,0.448178
0.995189,0.446550
0.996724,0.444921
0.997491,0.443059
0.999026,0.441430
0.999793,0.439801
1.001328,0.438172
1.002095,0.436544
1.004397,0.435380
1.006699,0.434449
1.008233,0.433286
1.010535,0.432122
1.012837,0.430959
1.015139,0.430028
1.016674,0.428864
1.018976,0.427701
1.021277,0.426537
1.023579,0.425607
1.025114,0.424443
1.027416,0.423280
1.029718,0.422116
1.032020,0.421185
1.033554,0.420022
1.035856,0.418858
1.038158,0.417695
1.040460,0.416764
1.041995,0.415601
1.044297,0.414437
1.044297,0.412808
1.043529,0.411179
1.043529,0.409550
1.043529,0.407689
1.042762,0.406060
1.042762,0.404431
1.042762,0.402802
1.041995,0.401173
1.041995,0.399544
1.041995,0.397915
1.041227,0.396054
1.041227,0.394425
1.040460,0.392796
1.040460,0.391167
1.040460,0.389538
1.039693,0.387909
1.039693,0.386048
1.039693,0.384419
1.038925,0.382790
1.038925,0.381161
1.040460,0.380463
1.041227,0.379532
1.042762,0.378834
1.043529,0.377903
1.045064,0.377205
1.045831,0.376274
1.047366,0.375576
1.048133,0.374646
1.049668,0.373947
1.051202,0.373249
1.051970,0.372319
1.053504,0.371620
1.054271,0.370690
1.055806,0.369992
1.056573,0.369061
1.058108,0.368363
1.058875,0.367432
1.060410,0.366734
1.061177,0.365803
1.062712,0.365105
1.062712,0.363941
1.062712,0.363011
1.062712,0.361847
1.063479,0.360684
1.063479,0.359753
1.063479,0.358589
1.063479,0.357426
1.063479,0.356495
1.063479,0.355332
1.064246,0.354401
1.064246,0.353237
1.064246,0.352074
1.064246,0.351143
1.064246,0.349979
1.064246,0.348816
1.064246,0.347885
1.065014,0.346722
1.065014,0.345558
1.065014,0.344627
1.065014,0.343464
1.064246,0.342068
1.063479,0.340671
1.061944,0.339275
1.061177,0.337646
1.060410,0.336250
1.059643,0.334854
1.058108,0.333458
1.057341,0.332062
1.056573,0.330665
1.055806,0.329269
1.054271,0.327640
1.053504,0.326244
1.052737,0.324848
1.051970,0.323452
1.050435,0.322056
1.049668,0.320659
1.048900,0.319030
1.048133,0.317634
1.046598,0.316238
1.045831,0.314842
1.046598,0.314144
1.047366,0.313446
1.048133,0.312748
1.048900,0.311817
1.049668,0.311119
1.049668,0.310421
1.050435,0.309723
1.051202,0.309024
1.051970,0.308326
1.052737,0.307628
1.053504,0.306697
1.054271,0.305999
1.055039,0.305301
1.055806,0.304603
1.056573,0.303905
1.056573,0.303207
1.057341,0.302276
1.058108,0.301578
1.058875,0.300880
1.059643,0.300182
1.055039,0.298088
1.049668,0.295761
1.045064,0.293666
1.039693,0.291572
1.035089,0.289245
1.030485,0.287151
1.025114,0.285056
1.020510,0.282729
1.015139,0.280635
1.010535,0.278541
1.005931,0.276214
1.000560,0.274120
0.995957,0.271793
0.990585,0.269698
0.985982,0.267604
0.981378,0.265277
0.976007,0.263183
0.971403,0.261088
0.966032,0.258761
0.961428,0.256667
0.948384,0.252479
0.935340,0.248523
0.921528,0.244334
0.908484,0.240145
0.895440,0.235957
0.882396,0.231885
0.869352,0.227766
0.855541,0.223624
0.842496,0.219505
0.829452,0.215363
0.816408,0.211244
0.803364,0.207102
0.789553,0.202983
0.776509,0.198841
0.763464,0.194723
0.750267,0.190581
